customer_id,customer_name,customer_type,state,geopolitical_zone,registration_date,contact_channel
1,Shoprite,Supermarket,Ondo,South West,2022-10-14,WhatsApp Order
2,SPAR Nigeria,Supermarket,Akwa Ibom,South South,2022-04-06,Distributor Portal
3,Justrite Superstores,Supermarket,Rivers,South South,2021-07-06,Distributor Portal
4,Prince Ebeano Supermarket,Supermarket,Delta,South South,2021-03-05,Phone Order
5,Next Cash & Carry,Supermarket,Lagos,South West,2019-01-05,Distributor Portal
6,Grand Square Supermarket,Supermarket,Oyo,South West,2019-04-26,Phone Order
7,Everyday Emporium,Supermarket,Kwara,North Central,2021-08-01,Phone Order
8,Transcorp Hilton,Hotel,Edo,South South,2022-05-16,WhatsApp Order
9,Eko Hotel,Hotel,Osun,South West,2020-11-29,Field Sales Rep
10,Sheraton Lagos,Hotel,Kano,North West,2019-12-27,Walk-in
11,Radisson Blu,Hotel,Oyo,South West,2020-04-03,Distributor Portal
12,Multipro Consumer Products,Distributor,Cross River,South South,2021-12-10,Walk-in
13,AG Leventis,Distributor,Osun,South West,2020-06-25,Phone Order
14,Chisco Distribution,Distributor,FCT,North Central,2021-10-15,WhatsApp Order
15,Crown Logistics,Distributor,Kwara,North Central,2019-02-22,Phone Order
16,Coastal 24hr Mart,Convenience Store,Rivers,South South,2017-03-18,WhatsApp Order
17,Delta Restaurant,Restaurant,Edo,South South,2023-09-19,Phone Order
18,Marina Restaurant,Restaurant,Katsina,North West,2018-03-30,Phone Order
19,Golden Trading Store,Retail Store,Enugu,South East,2025-07-20,Field Sales Rep
20,Coastal Kitchen,Restaurant,Cross River,South South,2021-09-29,Distributor Portal
21,Fresh Supplies Nigeria,Distributor,Lagos,South West,2017-03-22,Walk-in
22,Sunrise Bread House,Bakery,Ondo,South West,2023-08-11,Phone Order
23,Sunny Retail Shop,Retail Store,Oyo,South West,2023-07-07,Distributor Portal
24,Palm Convenience Store,Convenience Store,Enugu,South East,2025-05-06,Distributor Portal
25,Marina Stores,Retail Store,Kano,North West,2023-09-14,WhatsApp Order
26,Northern Grand Hotel,Hotel,Kaduna,North West,2021-05-11,Walk-in
27,Blue Hotel,Hotel,Enugu,South East,2021-11-07,Field Sales Rep
28,Harvest 24hr Mart,Convenience Store,Kwara,North Central,2022-05-01,Distributor Portal
29,Heritage Supplies Nigeria,Distributor,Imo,South East,2022-12-24,Distributor Portal
30,Green Superstore,Supermarket,Cross River,South South,2023-07-05,WhatsApp Order
31,Blue Logistics,Distributor,Enugu,South East,2017-10-21,WhatsApp Order
32,Sunrise Supermarket,Supermarket,Katsina,North West,2019-07-06,Phone Order
33,Heritage Cafe,Cafe,Rivers,South South,2021-02-08,Phone Order
34,Prime Stores,Retail Store,Plateau,North Central,2020-03-04,Phone Order
35,Northern Kitchen,Restaurant,Plateau,North Central,2021-04-30,Distributor Portal
36,Crown Supermarket,Supermarket,Edo,South South,2023-03-03,Field Sales Rep
37,Northern Bakery,Bakery,Osun,South West,2019-11-26,Walk-in
38,Silver Restaurant,Restaurant,Benue,North Central,2020-07-12,Distributor Portal
39,Blue Mart,Supermarket,Benue,North Central,2017-07-18,Walk-in
40,Metro Trading Ltd,Distributor,Kwara,North Central,2024-07-19,Phone Order
41,Grand Pharmacy,Pharmacy,Osun,South West,2021-11-23,Phone Order
42,Coastal Restaurant,Restaurant,Osun,South West,2022-10-21,Walk-in
43,Fresh Distribution Co,Distributor,Ondo,South West,2022-08-26,Phone Order
44,Silver Stores,Retail Store,Delta,South South,2017-03-15,Distributor Portal
45,Fresh Mart,Supermarket,Kaduna,North West,2017-10-02,Distributor Portal
46,Marina Trading Store,Retail Store,Plateau,North Central,2021-12-21,WhatsApp Order
47,Silver Coffee House,Cafe,Kwara,North Central,2019-06-30,Walk-in
48,Crown Supermarket,Supermarket,Benue,North Central,2022-07-02,Walk-in
49,Green Distribution Co,Distributor,Plateau,North Central,2018-09-08,Phone Order
50,Capital Corner Shop,Convenience Store,Kwara,North Central,2021-04-24,Distributor Portal
51,Bright Supplies Nigeria,Distributor,Katsina,North West,2023-11-18,WhatsApp Order
52,Unity Suites,Hotel,Delta,South South,2024-08-05,Walk-in
53,Crown Corner Shop,Convenience Store,Lagos,South West,2018-12-12,Field Sales Rep
54,Metro Stores,Retail Store,Kaduna,North West,2024-09-08,Field Sales Rep
55,Coastal Logistics,Distributor,Oyo,South West,2023-11-22,Phone Order
56,Delta Supermarket,Supermarket,Anambra,South East,2017-03-10,Walk-in
57,Palm Logistics,Distributor,Akwa Ibom,South South,2023-11-14,Field Sales Rep
58,Palm Superstore,Supermarket,Katsina,North West,2019-03-22,WhatsApp Order
59,Blue Convenience Store,Convenience Store,Katsina,North West,2025-03-26,Distributor Portal
60,Delta Superstore,Supermarket,Benue,North Central,2024-01-11,Walk-in
61,Green Logistics,Distributor,Plateau,North Central,2025-01-28,Phone Order
62,Peace Supplies Nigeria,Distributor,Ondo,South West,2023-01-18,Phone Order
63,Heritage Stores,Retail Store,Akwa Ibom,South South,2019-06-30,Field Sales Rep
64,Fresh Mart,Supermarket,Anambra,South East,2017-11-15,Distributor Portal
65,Victory Kitchen,Restaurant,Cross River,South South,2024-12-28,Walk-in
66,Crown Bakery,Bakery,Delta,South South,2019-07-14,Phone Order
67,Silver Stores,Retail Store,Plateau,North Central,2017-02-06,WhatsApp Order
68,Silver Stores,Retail Store,Kano,North West,2020-07-03,Distributor Portal
69,Bright Supermarket,Supermarket,Kano,North West,2020-12-07,Field Sales Rep
70,Marina Supermarket,Supermarket,Kano,North West,2022-02-22,Walk-in
71,Grand Convenience Store,Convenience Store,Enugu,South East,2022-01-04,Walk-in
72,Prime Hotel,Hotel,Plateau,North Central,2017-11-03,Phone Order
73,Harvest Supplies Nigeria,Distributor,Oyo,South West,2019-05-30,Distributor Portal
74,Grand Superstore,Supermarket,Edo,South South,2019-01-08,Phone Order
75,Capital Stores,Retail Store,Akwa Ibom,South South,2025-08-07,WhatsApp Order
76,Silver Stores,Retail Store,Enugu,South East,2025-11-22,Walk-in
77,Bright Trading Store,Retail Store,Cross River,South South,2023-01-18,Phone Order
